product_id,product_name,category,warehouse,location,quantity,price,supplier,current_status,last_restocked
1000,"Gadget Y",Furniture,"Warehouse 1","Aisle 2",100,49.99,"Supplier C","Low Stock",2023-01-15
1001,"Gadget X",Toys,"Warehouse 3","Aisle 3",150,19.99,"Supplier C","Low Stock",2023-04-25
1001,"Gadget Y",Furniture,"Warehouse 1","Aisle 5",200,49.99,"Supplier C","In Stock",2022-12-20
1001,"Widget A",Furniture,"Warehouse 2","Aisle 5",300,19.99,"Supplier A","In Stock",NULL
1004,"Gadget Y",Clothing,"Warehouse 3","Aisle 3",300,29.99,"Supplier A","In Stock",2023-03-05
1004,"Gadget Z",Clothing,"Warehouse 1","Aisle 3",50,19.99,"Supplier B","Low Stock",NULL
1007,"Gadget Y",Furniture,"Warehouse 1","Aisle 4",150,9.99,"Supplier A","Low Stock",2023-04-25
1008,"Gadget Z",Electronics,"Warehouse 2","Aisle 1",100,49.99,"Supplier A","Low Stock",NULL
1008,"Widget A",Toys,"Warehouse 1","Aisle 5",NULL,29.99,"Supplier C","Out of Stock",2022-12-20
1011,"Widget A",Clothing,"Warehouse 3","Aisle 1",300,9.99,"Supplier D","In Stock",2023-03-05
1013,"Widget A",Toys,"Warehouse 2","Aisle 5",50,19.99,"Supplier C","Low Stock",2023-04-25
1014,"Gadget Y",Clothing,"Warehouse 2","Aisle 1",100,19.99,"Supplier D","Low Stock",2023-01-15
1015,"Widget C",Electronics,"Warehouse 2","Aisle 2",NULL,49.99,"Supplier B","Out of Stock",2022-12-20
1018,"Gadget X",Clothing,"Warehouse 2","Aisle 5",100,29.99,"Supplier A","Low Stock",2023-03-05
1019,"Gadget X",Electronics,"Warehouse 2","Aisle 2",200,9.99,"Supplier D","In Stock",NULL
1020,"Gadget Z",Toys,"Warehouse 3","Aisle 4",300,19.99,"Supplier D","In Stock",2022-12-20
1020,"Widget C",Clothing,"Warehouse 1","Aisle 5",200,9.99,"Supplier D","In Stock",2022-12-20
1021,"Widget B",Clothing,"Warehouse 1","Aisle 4",150,19.99,"Supplier B","Low Stock",2023-04-25
1022,"Gadget Y",Furniture,"Warehouse 3","Aisle 5",NULL,49.99,"Supplier D","Out of Stock",2023-01-15
1024,"Widget B",Electronics,"Warehouse 1","Aisle 2",50,19.99,"Supplier B","Low Stock",2023-01-15
1027,"Gadget Y",Furniture,"Warehouse 1","Aisle 4",NULL,9.99,"Supplier A","Out of Stock",2023-04-25
1027,"Widget A",Clothing,"Warehouse 1","Aisle 2",50,19.99,"Supplier C","Low Stock",2022-12-20
1028,"Gadget X",Clothing,"Warehouse 1","Aisle 1",NULL,9.99,"Supplier D","Out of Stock",2023-01-15
1032,"Gadget X",Clothing,"Warehouse 1","Aisle 3",NULL,29.99,"Supplier A","Out of Stock",2023-01-15
1032,"Widget A",Electronics,"Warehouse 1","Aisle 1",NULL,49.99,"Supplier D","Out of Stock",2023-04-25
1034,"Widget C",Electronics,"Warehouse 2","Aisle 5",NULL,9.99,"Supplier C","Out of Stock",2023-04-25
1035,"Gadget X",Electronics,"Warehouse 2","Aisle 1",100,49.99,"Supplier A","Low Stock",2022-12-20
1035,"Gadget Z",Clothing,"Warehouse 1","Aisle 5",100,49.99,"Supplier D","Low Stock",NULL
1036,"Gadget Z",Furniture,"Warehouse 3","Aisle 2",150,29.99,"Supplier A","Low Stock",2023-03-05
1036,"Widget B",Toys,"Warehouse 3","Aisle 4",50,29.99,"Supplier A","Low Stock",2023-03-05
1037,"Widget A",Toys,"Warehouse 2","Aisle 2",50,49.99,"Supplier B","Low Stock",NULL
1038,"Gadget Y",Toys,"Warehouse 3","Aisle 2",50,29.99,"Supplier D","Low Stock",2022-12-20
1040,"Widget B",Clothing,"Warehouse 2","Aisle 1",300,29.99,"Supplier C","In Stock",2022-12-20
1040,"Widget C",Furniture,"Warehouse 1","Aisle 3",50,29.99,"Supplier B","Low Stock",2023-01-15
1041,"Gadget Z",Furniture,"Warehouse 2","Aisle 5",150,49.99,"Supplier A","Low Stock",2023-03-05
1042,"Gadget Y",Electronics,"Warehouse 3","Aisle 5",100,9.99,"Supplier D","Low Stock",2023-01-15
1045,"Widget C",Electronics,"Warehouse 1","Aisle 1",300,29.99,"Supplier C","In Stock",2022-12-20
1046,"Gadget Y",Furniture,"Warehouse 1","Aisle 5",100,9.99,"Supplier D","Low Stock",2023-01-15
1046,"Widget B",Clothing,"Warehouse 2","Aisle 1",200,29.99,"Supplier A","In Stock",2023-01-15
1046,"Widget C",Furniture,"Warehouse 3","Aisle 1",NULL,9.99,"Supplier A","Out of Stock",NULL
1047,"Widget B",Furniture,"Warehouse 2","Aisle 5",50,49.99,"Supplier C","Low Stock",2023-04-25
1050,"Widget C",Furniture,"Warehouse 2","Aisle 1",50,19.99,"Supplier D","Low Stock",2023-01-15
1052,"Widget A",Furniture,"Warehouse 3","Aisle 5",50,29.99,"Supplier C","Low Stock",2023-03-05
1052,"Widget B",Clothing,"Warehouse 2","Aisle 5",100,29.99,"Supplier D","Low Stock",2022-12-20
1053,"Gadget X",Clothing,"Warehouse 3","Aisle 4",300,49.99,"Supplier A","In Stock",2023-03-05
1057,"Gadget X",Furniture,"Warehouse 3","Aisle 4",200,49.99,"Supplier B","In Stock",2023-03-05
1057,"Gadget Y",Toys,"Warehouse 1","Aisle 4",NULL,9.99,"Supplier B","Out of Stock",2022-12-20
1057,"Widget B",Toys,"Warehouse 1","Aisle 5",300,9.99,"Supplier A","In Stock",NULL
1061,"Widget C",Clothing,"Warehouse 2","Aisle 1",NULL,9.99,"Supplier C","Out of Stock",2023-01-15
1062,"Gadget Y",Clothing,"Warehouse 1","Aisle 5",150,9.99,"Supplier B","Low Stock",2023-01-15
1068,"Gadget X",Furniture,"Warehouse 3","Aisle 2",150,19.99,"Supplier D","Low Stock",2022-12-20
1068,"Gadget Z",Electronics,"Warehouse 1","Aisle 3",300,49.99,"Supplier C","In Stock",2023-03-05
1073,"Widget A",Toys,"Warehouse 2","Aisle 5",300,9.99,"Supplier D","In Stock",NULL
1074,"Widget B",Furniture,"Warehouse 1","Aisle 3",200,9.99,"Supplier D","In Stock",2023-01-15
1075,"Widget B",Electronics,"Warehouse 1","Aisle 5",200,19.99,"Supplier A","In Stock",2023-04-25
1079,"Gadget X",Clothing,"Warehouse 2","Aisle 3",NULL,49.99,"Supplier B","Out of Stock",2023-04-25
1080,"Widget B",Electronics,"Warehouse 1","Aisle 3",150,19.99,"Supplier C","Low Stock",2023-03-05
1089,"Gadget X",Furniture,"Warehouse 3","Aisle 3",150,19.99,"Supplier A","Low Stock",2023-01-15
1089,"Widget C",Furniture,"Warehouse 3","Aisle 1",150,9.99,"Supplier C","Low Stock",NULL
1090,"Gadget Z",Furniture,"Warehouse 2","Aisle 2",NULL,19.99,"Supplier A","Out of Stock",2022-12-20
1091,"Gadget Z",Electronics,"Warehouse 1","Aisle 5",300,49.99,"Supplier A","In Stock",2023-01-15
1093,"Widget B",Furniture,"Warehouse 3","Aisle 4",100,29.99,"Supplier A","Low Stock",NULL
1095,"Widget A",Electronics,"Warehouse 3","Aisle 4",100,19.99,"Supplier D","Low Stock",2022-12-20
1095,"Widget B",Furniture,"Warehouse 1","Aisle 2",200,29.99,"Supplier B","In Stock",2022-12-20
1098,"Gadget X",Clothing,"Warehouse 1","Aisle 3",50,19.99,"Supplier A","Low Stock",2023-03-05
